id,name
1,Nanggroe Aceh Darussalam
2,Sumatra Utara
3,Sumatra Selatan
4,Sumatra Barat
5,Bengkulu
6,Riau
7,Kepulauan Riau
8,Jambi
9,Lampung
10,Bangka Belitung
11,Kalimantan Barat
12,Kalimantan Timur
13,Kalimantan Selatan
14,Kalimantan Tengah
15,Kalimantan Utara
16,Banten
17,DKI Jakarta
18,Jawa Barat
19,Jawa Tengah
20,Daerah Istimewa Yogyakarta
21,Jawa Timur
22,Bali
23,Nusa Tenggara Timur
24,Nusa Tenggara Barat
25,Gorontalo
26,Sulawesi Barat
27,Sulawesi Tengah
28,Sulawesi Utara
29,Sulawesi Tenggara
30,Sulawesi Selatan
31,Maluku Utara
32,Maluku
33,Papua Barat
34,Papua
35,Papua Tengah
36,Papua Pegunungan
37,Papua Selatan
38,Papua Barat Daya

